序号,1、年级,2、你的性别,3、一天中你觉得自己什么时候心情最差？,4、一天中你觉得自己什么时候心情最好？,6、一周中哪天你觉得自己什么时候心情最差？,7、一周中哪天你觉得自己什么时候心情最好？,9、你的情绪稳定吗？,10、你觉得情绪好控制吗？,11、遇到心理问题，会主动找心理咨询师寻求帮助吗？,12、如果你身边的人总带给你负面情绪，你会选择,13、你如何发泄自己的负面情绪,14、心情不好时你的应对措施类似于,15、你觉得自己有抑郁症吗？,16、产生不良情绪时，你会让周围的人感受到吗？,17、通常因为什么造成情绪困扰,18、与别人发生冲突时，我会,19、你会怎么处理情绪问题,20.方案
10,大四,女,夜晚,早晨,周五,周六,较稳定,难,不确定,宽慰开导,憋在心里,暗自发泄,不知道,偶尔会，情绪比较强烈时，会表达,对未来就业前途迷茫,如果是自己的过错会先冷静下来道歉,接受现实，处理问题,辅导、组织帮助
1,大一,男,早晨,下午,周一,周六,较稳定,难,不会,宽慰开导,其他,若无其事,没有,不会，比较会隐藏自己的情绪不被别人发现,对未来就业前途迷茫,如果是自己的过错会先冷静下来道歉,接受现实，处理问题,辅导、组织帮助
13,大三,男,下午,夜晚,周一,周五,较稳定,较易,不确定,不予理睬,找人倾诉,与人沟通,不知道,偶尔会，情绪比较强烈时，会表达,对未来就业前途迷茫,如果是他人的错回包容，不与其计较那么多,向朋友、老师或家人倾诉,0
6,大三,男,夜晚,中午,周一,周日,不稳定,难,不会,不予理睬,憋在心里,闷头不语,没有,偶尔会，情绪比较强烈时，会表达,恋爱困扰,是他人错就坚决不理他，与其绝交,接受现实，处理问题,辅导、组织帮助
16,大二,男,夜晚,早晨,周五,周六,较稳定,较易,不会,宽慰开导,找人倾诉,闷头不语,没有,偶尔会，情绪比较强烈时，会表达,恋爱困扰,如果是自己的过错会先冷静下来道歉,通过兴趣爱好发泄,0
20,大三,男,夜晚,早晨,周五,周一,不稳定,基本不控制,不会,被他同化,憋在心里,闷头不语,可能有,会，和别人诉说发泄自己的不良情绪,恋爱困扰,即使是自己的错也不会道歉,想快乐的事情忘记它,辅导、组织帮助
18,大三,男,上午,上午,周日,周六,较稳定,较易,不会,劝他善良,其他,若无其事,没有,不会，比较会隐藏自己的情绪不被别人发现,其他,如果是自己的过错会先冷静下来道歉,接受现实，处理问题,0
8,大三,男,早晨,中午,周三,周四,相当稳定,较易,不确定,劝他善良,其他,闷头不语,没有,不会，比较会隐藏自己的情绪不被别人发现,其他,如果是自己的过错会先冷静下来道歉,接受现实，处理问题,0
4,大三,男,夜晚,早晨,周一,周日,较稳定,较易,不会,不予理睬,憋在心里,暗自发泄,不知道,偶尔会，情绪比较强烈时，会表达,其他,如果是他人的错回包容，不与其计较那么多,通过兴趣爱好发泄,辅导、组织帮助
3,大一,男,下午,夜晚,周三,周日,较稳定,易,不会,劝他善良,找人倾诉,闷头不语,没有,偶尔会，情绪比较强烈时，会表达,人际关系紧张,如果是自己的过错会先冷静下来道歉,想快乐的事情忘记它,0
2,大三,男,早晨,夜晚,周二,周一,较稳定,较易,不会,不予理睬,找人倾诉,若无其事,没有,不会，比较会隐藏自己的情绪不被别人发现,人际关系紧张,如果是自己的过错会先冷静下来道歉,向朋友、老师或家人倾诉,辅导、组织帮助
5,大一,男,早晨,夜晚,周一,周一,较稳定,较易,不会,宽慰开导,找人倾诉,若无其事,没有,不会，比较会隐藏自己的情绪不被别人发现,社团部门工作繁忙,如果是自己的过错会先冷静下来道歉,向朋友、老师或家人倾诉,教务处
11,大四,男,上午,夜晚,周二,周五,相当稳定,易,不会,劝他善良,憋在心里,与人沟通,没有,不会，比较会隐藏自己的情绪不被别人发现,学业繁重,如果是自己的过错会先冷静下来道歉,接受现实，处理问题,教务处
17,大三,女,中午,夜晚,周五,周六,较稳定,易,会,宽慰开导,通过运动发泄,闷头不语,没有,会，和别人诉说发泄自己的不良情绪,学业繁重,如果是自己的过错会先冷静下来道歉,接受现实，处理问题,教务处
9,大二,男,早晨,夜晚,周一,周四,较稳定,基本不控制,不会,不予理睬,其他,暗自发泄,可能有,会，和别人诉说发泄自己的不良情绪,学业繁重,即使是自己的错也不会道歉,接受现实，处理问题,辅导、组织帮助
12,大三,女,早晨,夜晚,周一,周五,较稳定,难,会,宽慰开导,通过运动发泄,与人沟通,没有,偶尔会，情绪比较强烈时，会表达,学业繁重,如果是自己的过错会先冷静下来道歉,接受现实，处理问题,辅导、组织帮助
14,大四,男,下午,早晨,周日,周一,较稳定,较易,不会,劝他善良,通过运动发泄,闷头不语,没有,偶尔会，情绪比较强烈时，会表达,学业繁重,如果是自己的过错会先冷静下来道歉,通过兴趣爱好发泄,辅导、组织帮助
19,大三,男,早晨,夜晚,周一,周五,相当稳定,易,不会,劝他善良,其他,与人沟通,没有,会，和别人诉说发泄自己的不良情绪,学业繁重,如果是他人的错回包容，不与其计较那么多,通过兴趣爱好发泄,教务处
7,大三,男,下午,早晨,周六,周一,较稳定,较易,不确定,宽慰开导,其他,若无其事,没有,偶尔会，情绪比较强烈时，会表达,学业繁重,如果是自己的过错会先冷静下来道歉,想快乐的事情忘记它,任课老师
15,大二,男,夜晚,早晨,周一,周五,较稳定,易,会,劝他善良,找人倾诉,若无其事,没有,偶尔会，情绪比较强烈时，会表达,学业繁重,如果是他人的错回包容，不与其计较那么多,想快乐的事情忘记它,任课老师
